company_id,hubspot_deal_id,employee_sent_invitations_count,employee_first_invitation_sent_in_days,employee_accepted_invitations_count,employee_first_invitation_accepted_in_days,boss_sent_invitations_count,boss_first_invitation_sent_in_days,boss_accepted_invitations_count,boss_first_invitation_accepted_in_days,active_employees_count,work_schedules_count,adjustments_count,adjustment_suggestions_count,active_geofences_count,hour_parametrizations_count,reports_count,imported_afd_reports_count,vacation_requests_count,vacations_count,timetrackings_count,imported_timetrackings_count,days_to_decision,won
34524,9174363694,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
34525,9174423915,0,-1,0,-1,0,-1,0,-1,0,1,0,0,1,0,2,0,0,0,12,0,70,0
34526,9174790763,3,0,3,0,0,-1,0,-1,3,3,105,0,1,0,1,0,0,0,98,0,15,1
34528,9174767787,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
34529,9174857641,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,0
34530,9174911039,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
34531,9174987344,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34533,9175570688,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
34535,9175798358,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,3,0,0,0,3,0,2,0
34536,9175781805,1,0,1,0,0,-1,0,-1,1,1,0,0,1,0,0,0,0,0,51,0,21,1
34537,9175906704,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,17,0
34538,9175956656,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34539,9176143629,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
